12345678901|#F+994.87;16/09/2024|00:57:04
12345678901|#F-702.47;16/09/2024|02:37:04
12345678901|#B+458.86;16/09/2024|11:24:04
12345678901|#B-149.04;16/09/2024|11:40:04
12345678901|#F-857.52;16/09/2024|18:00:04
12345678901|#F-395.51;16/09/2024|09:34:04
12345678901|#E-956.74;16/09/2024|16:01:04
12345678901|#R-637.55;16/09/2024|05:33:04
12345678901|#F+494.83;16/09/2024|18:15:04
12345678901|#E+418.75;15/09/2024|19:02:04
12345678901|#F-696.54;15/09/2024|23:10:04
12345678901|#B-159.48;16/09/2024|18:03:04
12345678901|#R+641.22;16/09/2024|11:28:04
12345678901|#R-976.97;16/09/2024|11:21:04
12345678901|#E-749.98;16/09/2024|13:50:04
12345678901|#F-418.72;16/09/2024|12:50:04
12345678901|#E+460.26;15/09/2024|21:34:04
12345678901|#F+289.47;16/09/2024|07:14:04
12345678901|#R-350.66;16/09/2024|13:43:04
12345678901|#R+2.20;15/09/2024|22:09:04
12345678901|#F-934.14;16/09/2024|00:36:04
12345678901|#R+493.10;16/09/2024|12:18:04
12345678901|#R-789.66;16/09/2024|18:06:04
12345678901|#B-272.51;16/09/2024|01:51:04
12345678901|#R+339.63;16/09/2024|07:16:04
12345678901|#B+221.15;16/09/2024|15:38:04
12345678901|#E-975.90;16/09/2024|14:55:04
12345678901|#E+547.54;16/09/2024|04:36:04
12345678901|#F-192.54;16/09/2024|03:40:04
12345678901|#F-938.20;16/09/2024|04:06:04
12345678901|#E-145.24;15/09/2024|19:31:04
12345678901|#F-365.84;15/09/2024|20:21:04
12345678901|#F+226.95;16/09/2024|12:44:04
12345678901|#F-213.49;16/09/2024|16:24:04
12345678901|#R+889.12;16/09/2024|00:56:04
12345678901|#R-841.93;15/09/2024|20:16:04
12345678901|#F+768.05;16/09/2024|08:15:04
12345678901|#F+372.66;16/09/2024|16:56:04
12345678901|#E-127.86;16/09/2024|13:07:04
12345678901|#R+709.27;16/09/2024|01:43:04
12345678901|#E+56.52;16/09/2024|11:40:04
12345678901|#B-738.67;16/09/2024|02:41:04
12345678901|#B-59.79;15/09/2024|21:46:04
12345678901|#E-875.61;16/09/2024|09:57:04
12345678901|#R+676.79;16/09/2024|12:54:04
12345678901|#R+645.87;16/09/2024|13:33:04
12345678901|#F-954.23;16/09/2024|08:53:04
12345678901|#E+38.46;16/09/2024|10:00:04
12345678901|#B+412.39;16/09/2024|12:37:04
12345678901|#R+713.27;16/09/2024|18:02:04
12345678901|#B-803.02;16/09/2024|11:28:04
12345678901|#R-814.64;15/09/2024|20:03:04
12345678901|#R+775.90;15/09/2024|21:39:04
12345678901|#R+345.47;16/09/2024|06:19:04
12345678901|#B+674.06;16/09/2024|05:47:04
12345678901|#R-852.42;16/09/2024|03:30:04
12345678901|#B-510.87;16/09/2024|02:40:04
12345678901|#F-160.72;16/09/2024|11:22:04
12345678901|#E-7.77;16/09/2024|10:04:04
12345678901|#R-639.37;16/09/2024|00:50:04
12345678901|#F-930.80;16/09/2024|06:05:04
12345678901|#B+580.42;16/09/2024|00:16:04
12345678901|#E-174.18;16/09/2024|17:26:04
12345678901|#R+336.35;16/09/2024|01:57:04
12345678901|#R-566.83;15/09/2024|21:08:04
12345678901|#F+407.48;16/09/2024|11:33:04
12345678901|#B+667.29;16/09/2024|02:44:04
12345678901|#R-950.34;16/09/2024|00:19:04
12345678901|#F+832.62;16/09/2024|00:28:04
12345678901|#F+674.29;16/09/2024|03:17:04
12345678901|#E+852.18;16/09/2024|10:06:04
12345678901|#E+506.63;16/09/2024|14:38:04
12345678901|#B-25.43;15/09/2024|22:44:04
